ts,statusword,mode_display,position,velocity,torque,current,error_code,rated_current,rated_torque,max_motor_speed,dc_bus_voltage,drive_temp,current_A,torque_Nm
1776839587.3752413,1591,1,-34,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839587.4757776,1591,1,-48,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839587.5758681,1591,1,-38,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839587.676169,1591,1,-34,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839587.7767081,1591,1,-34,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839587.8771365,1591,1,-18,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839587.977489,1591,1,-14,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839588.07819,1591,1,-6,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839588.1786258,1591,1,-2,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839588.2791598,1591,1,14,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839588.3796818,1591,1,8,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839588.4799447,1591,1,12,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839588.5800672,1591,1,18,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839588.6802132,1591,1,14,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839588.7806773,1591,1,18,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839588.8808298,1591,1,18,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839588.9813218,1591,1,4,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839589.0815454,1591,1,18,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839589.181849,1591,1,18,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839589.2823598,1591,1,18,0,-14,-15,0,4270,2391,6000,306,37,-0.06405,-0.033474
1776839589.382668,1591,1,18,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839589.4831412,1591,1,8,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839589.5833204,1591,1,18,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839589.6837547,1591,1,14,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839589.7842734,1591,1,-12,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839589.8847067,1591,1,-8,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839589.9848888,1591,1,-24,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839590.085139,1591,1,-28,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839590.1854842,1591,1,-30,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.2858272,1591,1,-30,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839590.386095,1591,1,-40,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.486346,1591,1,-40,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839590.5868196,1591,1,-38,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839590.687235,1591,1,-14,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.7877219,1591,1,-12,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.8880835,1591,1,8,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839590.9884584,1591,1,8,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839591.0886807,1591,1,8,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839591.1889687,1591,1,8,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839591.289236,1591,1,8,0,-15,-13,0,4270,2391,6000,306,37,-0.05551,-0.035865
1776839591.3897982,1591,1,14,0,-14,-13,0,4270,2391,6000,306,37,-0.05551,-0.033474
1776839591.490188,1591,1,18,0,-13,-13,0,4270,2391,6000,306,37,-0.05551,-0.031083
1776839591.590411,1591,1,22,0,-14,-13,0,4270,2391,6000,306,37,-0.05551,-0.033474
1776839591.6905532,1591,1,14,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839591.7907617,1591,1,18,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839591.8910174,1591,1,28,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839591.991424,1591,1,8,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839592.0914793,1591,1,12,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839592.192032,1591,1,22,0,-13,-13,0,4270,2391,6000,306,37,-0.05551,-0.031083
1776839592.2924654,1591,1,18,0,-13,-13,0,4270,2391,6000,306,37,-0.05551,-0.031083
1776839592.3930857,1591,1,18,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839592.4934046,1591,1,12,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839592.593883,1591,1,12,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839592.694702,1591,1,-12,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839592.7948968,1591,1,-6,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839592.8952549,1591,1,-34,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839592.9956245,1591,1,-24,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839593.0962286,1591,1,-24,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839593.196863,1591,1,-30,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839593.2973266,1591,1,-12,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839593.397451,1591,1,-12,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839593.4980876,567,1,1420365,1435,25,26,0,4270,2391,6000,305,37,0.11102,0.059775
1776839593.5985332,567,1,6242596,1777,26,28,0,4270,2391,6000,305,37,0.11956,0.062166
1776839593.699073,567,1,11287023,1787,31,25,0,4270,2391,6000,305,37,0.10675,0.074121
1776839593.799239,567,1,16287173,1788,27,25,0,4270,2391,6000,305,37,0.10675,0.064557
1776839593.8999412,567,1,21286781,1787,28,27,0,4270,2391,6000,305,37,0.11529,0.066948
1776839594.0005558,567,1,26337158,1788,25,25,0,4270,2391,6000,305,37,0.10675,0.059775
1776839594.1009464,567,1,31336800,1787,24,28,0,4270,2391,6000,305,37,0.11956,0.057384
1776839594.2010624,567,1,36387095,1787,25,27,0,4270,2391,6000,305,37,0.11529,0.059775
1776839594.3014553,567,1,41386836,1787,27,30,0,4270,2391,6000,305,37,0.1281,0.064557
1776839594.4018035,567,1,46076558,1146,-1,2,0,4270,2391,6000,305,37,0.00854,-0.002391
1776839594.5020816,567,1,46587583,28,19,19,0,4270,2391,6000,305,37,0.08113,0.045429
1776839594.6026287,567,1,46603003,1,18,19,0,4270,2391,6000,305,37,0.08113,0.043038
1776839594.7030334,567,1,46603541,0,17,17,0,4270,2391,6000,305,37,0.07259,0.040647
1776839594.803565,1591,1,46603465,0,16,15,0,4270,2391,6000,305,37,0.06405,0.038256
1776839594.903645,1591,1,46603417,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.0039387,1591,1,46603393,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.1042378,1591,1,46603407,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.204309,1591,1,46603389,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.3045738,1591,1,46603393,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.4046876,1591,1,46603389,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.5054593,1591,1,46603421,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839595.6060944,1591,1,46603411,0,15,15,0,4270,2391,6000,306,37,0.06405,0.035865
1776839595.7066166,1591,1,46603415,0,14,15,0,4270,2391,6000,306,37,0.06405,0.033474
1776839595.8073115,1591,1,46603391,0,15,15,0,4270,2391,6000,306,37,0.06405,0.035865
1776839595.9075933,1591,1,46603391,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839596.008093,1591,1,46603371,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839596.1086297,1591,1,46603371,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839596.2091308,1591,1,46603363,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839596.3093445,1591,1,46603363,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839596.409795,1591,1,46603367,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839596.5106547,1591,1,46603355,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839596.611199,1591,1,46603363,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839596.7117634,1591,1,46603371,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839596.8120914,1591,1,46603363,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839596.9126103,1591,1,46603371,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839597.0128784,1591,1,46603355,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839597.113129,1591,1,46603377,0,14,14,0,4270,2391,6000,305,37,0.05978,0.033474
1776839597.2134244,1591,1,46603377,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839597.3136265,1591,1,46603381,0,14,14,0,4270,2391,6000,305,37,0.05978,0.033474
1776839597.4140956,1591,1,46603391,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839597.5142903,1591,1,46603389,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839597.614747,1591,1,46603389,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839597.7152507,1591,1,46603371,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839597.8154924,1591,1,46603411,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839597.9159882,1591,1,46603395,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839598.0162811,1591,1,46603391,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839598.1174445,1591,1,46603363,0,16,14,0,4270,2391,6000,305,37,0.05978,0.038256
1776839598.2206314,1591,1,46603367,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839598.3209572,1591,1,46603371,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839598.4213274,1591,1,46603371,0,16,15,0,4270,2391,6000,305,37,0.06405,0.038256
1776839598.5215132,1591,1,46603371,0,14,14,0,4270,2391,6000,305,37,0.05978,0.033474
1776839598.6221924,1591,1,46603363,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839598.724161,1591,1,46603393,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839598.8247926,1591,1,46603389,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839598.925271,1591,1,46603411,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839599.0255523,1591,1,46603405,0,15,16,0,4270,2391,6000,305,37,0.06832,0.035865
1776839599.125665,1591,1,46603407,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839599.229979,1591,1,46603367,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839599.3307064,1591,1,46603367,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839599.4309406,1591,1,46603371,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839599.5311801,1591,1,46603359,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839599.631342,1591,1,46603355,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839599.7344117,1591,1,46603393,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839599.8349614,1591,1,46603405,0,15,14,0,4270,2391,6000,305,37,0.05978,0.035865
1776839599.9353178,1591,1,46603405,0,14,14,0,4270,2391,6000,305,37,0.05978,0.033474
1776839600.0360458,1591,1,46603391,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839600.136627,1591,1,46603391,0,15,15,0,4270,2391,6000,305,37,0.06405,0.035865
1776839600.2372515,1591,1,46603371,0,14,15,0,4270,2391,6000,305,37,0.06405,0.033474
1776839600.337721,567,1,45846936,-1125,-30,-30,0,4270,2391,6000,305,37,-0.1281,-0.07173
1776839600.4379218,567,1,41156126,-1770,-27,-27,0,4270,2391,6000,305,37,-0.11529,-0.064557
1776839600.5383003,567,1,36115676,-1788,-27,-25,0,4270,2391,6000,305,37,-0.10675,-0.064557
1776839600.6384807,567,1,31115907,-1789,-28,-27,0,4270,2391,6000,305,37,-0.11529,-0.066948
1776839600.7388372,567,1,26116032,-1788,-28,-27,0,4270,2391,6000,305,37,-0.11529,-0.066948
1776839600.839178,567,1,21066003,-1789,-28,-26,0,4270,2391,6000,305,37,-0.11102,-0.066948
1776839600.9395525,567,1,16016161,-1788,-23,-25,0,4270,2391,6000,305,37,-0.10675,-0.054993
1776839601.0401452,567,1,11015852,-1789,-24,-26,0,4270,2391,6000,305,37,-0.11102,-0.057384
1776839601.1404717,567,1,6016207,-1788,-24,-27,0,4270,2391,6000,305,37,-0.11529,-0.057384
1776839601.2409258,567,1,965966,-1789,-25,-27,0,4270,2391,6000,305,37,-0.11529,-0.059775
1776839601.3412902,567,1,-4033962,-1788,-25,-27,0,4270,2391,6000,305,37,-0.11529,-0.059775
1776839601.441486,567,1,-9033939,-1788,-24,-26,0,4270,2391,6000,305,37,-0.11102,-0.057384
1776839601.5417693,567,1,-14033858,-1788,-21,-28,0,4270,2391,6000,305,37,-0.11956,-0.050211
1776839601.6422317,567,1,-19083913,-1789,-22,-29,0,4270,2391,6000,305,37,-0.12383,-0.052602
1776839601.742718,567,1,-24083992,-1788,-23,-26,0,4270,2391,6000,305,37,-0.11102,-0.054993
1776839601.842853,567,1,-29083952,-1789,-23,-24,0,4270,2391,6000,305,37,-0.10248,-0.054993
1776839601.9433076,567,1,-34133854,-1788,-27,-26,0,4270,2391,6000,305,37,-0.11102,-0.064557
1776839602.0436282,567,1,-39134061,-1789,-23,-22,0,4270,2391,6000,305,37,-0.09394,-0.054993
1776839602.144577,567,1,-44183846,-1788,-25,-24,0,4270,2391,6000,305,37,-0.10248,-0.059775
1776839602.2449806,567,1,-46529416,-135,-20,-20,0,4270,2391,6000,305,37,-0.0854,-0.04782
1776839602.3453083,567,1,-46601091,-4,-22,-22,0,4270,2391,6000,305,37,-0.09394,-0.052602
1776839602.4454374,567,1,-46603570,0,-20,-19,0,4270,2391,6000,305,37,-0.08113,-0.04782
1776839602.545631,567,1,-46603562,0,-19,-18,0,4270,2391,6000,305,37,-0.07686,-0.045429
1776839602.6458175,1591,1,-46603486,0,-18,-17,0,4270,2391,6000,305,37,-0.07259,-0.043038
1776839602.746007,1591,1,-46603456,0,-18,-18,0,4270,2391,6000,305,37,-0.07686,-0.043038
1776839602.8466141,1591,1,-46603422,0,-18,-17,0,4270,2391,6000,305,37,-0.07259,-0.043038
1776839602.947395,1591,1,-46603378,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839603.0474741,1591,1,-46603366,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839603.1477764,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.2479668,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.3481221,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.4483159,1591,1,-46603372,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.5492795,1591,1,-46603348,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839603.649724,1591,1,-46603366,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.7500398,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839603.8505177,1591,1,-46603366,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839603.9511158,1591,1,-46603352,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839604.0513093,1591,1,-46603366,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839604.1518693,1591,1,-46603358,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839604.2521195,1591,1,-46603362,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839604.3572922,1591,1,-46603376,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839604.457581,1591,1,-46603378,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839604.5587077,1591,1,-46603372,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839604.659392,1591,1,-46603356,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839604.7594354,1591,1,-46603362,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839604.859961,1591,1,-46603352,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839604.9603932,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839605.0609832,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.1613667,1591,1,-46603372,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839605.2615163,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.3837738,1591,1,-46603404,0,-16,-15,0,4270,2391,6000,305,37,-0.06405,-0.038256
1776839605.4840732,1591,1,-46603416,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.5846417,1591,1,-46603420,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.6855516,1591,1,-46603410,0,-18,-17,0,4270,2391,6000,306,37,-0.07259,-0.043038
1776839605.7859392,1591,1,-46603404,0,-17,-17,0,4270,2391,6000,306,37,-0.07259,-0.040647
1776839605.893638,1591,1,-46603388,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839605.994223,1591,1,-46603404,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839606.094337,1591,1,-46603422,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839606.194621,1591,1,-46603420,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839606.2947214,1591,1,-46603426,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839606.4214556,1591,1,-46603372,0,-17,-17,0,4270,2391,6000,304,37,-0.07259,-0.040647
1776839606.5217838,1591,1,-46603368,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839606.6223316,1591,1,-46603372,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839606.7229073,1591,1,-46603376,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839606.8230972,1591,1,-46603400,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839606.927842,1591,1,-46603366,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.0281715,1591,1,-46603352,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.1282723,1591,1,-46603362,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839607.2284963,1591,1,-46603356,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.328573,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.4535804,1591,1,-46603394,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839607.553706,1591,1,-46603394,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839607.6542306,1591,1,-46603410,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839607.7543578,1591,1,-46603422,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839607.8544939,1591,1,-46603422,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
